Data Training Analisis Sentimen Pilgun DKI ;;;;
;;;;
;;;;
;;;;
;;;;
No;Tweet;Label;;
;;Positif;Negatif;Netral
1;rt  no  ambisinya menguasai rakyat  ambisinya melayani rakyat itu terlihat  mknya loguepilihbadja aja;;;
2;rt  nah gue pikir sentimen petahana oke di  semalam tapi mnrt politicawave malah sebaliknya  ;;;
3;rt  urutan pertama best moment  pak basuki misahin bu sylvie;;;
4;rt  djarot mas agus bagaimana bangun di bantaran sungai tanpa dipindahkan ;;;
5;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
6;rt  gaya  kalah debat hahaha  debatcagubdki ;;;
7;pdip sengaja becah belah rakyat warga dki tidak pilih ahok ;;;
8;rt  ini artikel yg menjelaskan ternyata di  yg dapet respon positif di socmed adalah aniessandiokoce ;;;
9;rt  kata ahok rakyat itu atasan bosnya tapi kenapa bawahan memakimaki atasan bos bukankah itu kurang ajar ;;;
10;rt  malam tuipstrm ksh usgl cuitannya  ;;;
11;rt  agus makin santainahok makin santunnanies makin ;;;
12;pilkada dki jangan pilih pki berbahaya pilih  atau  saja tahun baru imlek pkb aj  imlek;;;
13;rt  ahok agus atau anis atau pilih si anu andalah yang menentukan ahokoke  ;;;
14;rt  sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake  yg salah ya ahok  aja  ;;;
15;rt  tiap ahok djarot ngomong nambah ilmu ya kita  ;;;
16;rt  sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake  yg salah ya ahok  aja  ;;;
17;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
18;ahok sunguh oembual sejatindidebat semua data yg disebutkan palsunhanya opini medianjangan sampai ketipu si jamban   ;;;
19;rt  bohongi bohongi terus org pakai opini kinerja baik pdhl kinerjanya absolutely buruk ;;;
20;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
21;rt  serasii ;;;
22;rt  kita ttp bisa bijak memilih tanpa harus berteriak tanpa harus mengumpat  debatcagubdki;;;
23;rt  ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk  ;;;
24;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
25;rt  ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk  ;;;
26;rt  ahok kami bukan saja rencana lawan ketidakadilan sosial dalam birokrasi kami sudah lakukan kami hilangkan pungli dsb ;;;
27;  konsep gila  rumah apungnno  kontrakan bawah tanahnno  ;;;
28;as usual ga pernah menjawab dgn solusi;;;
29;rt  sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake  yg salah ya ahok  aja  ;;;
30;rt  pilkada dki pemilih ahokdjarot paling solid cc  ;;;
31;rt  bohongi bohongi terus org pakai opini kinerja baik pdhl kinerjanya absolutely buruk ;;;
32;rt  ahok sunguh oembual sejatindidebat semua data yg disebutkan palsunhanya opini medianjangan sampai ketipu si jamban ;;;
33;rt  ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk  ;;;
34;pdip sengaja becah belah rakyat warga dki tidak pilih ahok pria as  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
35;rt  ini yg gue bilang yg hebat di tim  itu cuma tukang fotonya coba zoom orangnya dikit kebyakan  ;;;
36;pdip sengaja becah belah rakyat warga dki tidak pilih ahok dua gan  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
37;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
38;pilkada dki jangan pilih pki berbahaya pilih  atau  saja tahun baru imlek pkb aj  imlek;;;
39;rt  lah lu monolog sejam yg dihadiri  lu sendiri  knp gak dijelaskan ngeles aja emg gak  ;;;
40;pilkada dki jangan pilih pki berbahaya pilih  atau  saja razia narkoba di kampung  imlek;;;
41;pilkada dki jangan pilih pki berbahaya pilih  atau  saja aparat gabungan kembali  imlek;;;
42;rt  best moment  ahok  ;;;
43;agus tidak jelas mampu hanya polesan anak dan gaya pepo  ;;;
44;rt  bohongi bohongi terus org pakai opini kinerja baik pdhl kinerjanya absolutely buruk ;;;
45; ahok the best bingung sy dengar  amp;;;
46;rt  tiap ahok djarot ngomong nambah ilmu ya kita  ;;;
47;rt  para pemujapemuji  kalau msh juga memuji ini keterlaluan mbok ya kalau tugas boleh tapi  ;;;
48;rt  makasih  jangan kasih kendor untuk  salam dua  ;;;
49;rt  retweet please nmenurut anda paslon mana yang paling pantas memimpin jakarta lima tahun kedepan ;;;
50;rt  ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung ;;;
51;rt  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak ;;;
52;rt  kami akan menggeser sedikit bukan menggusur  ;;;
53;rt  ahok gimana caranya agus inilah perbedaannya kalau kami terpilih kami yakin kami bisa lah malah promosi gus ;;;
54;rt  visi misi anies adalah penilaian buruk orang lain  ;;;
55;rt  bersabar ini ujian  ;;;
56;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
57;rt  kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin ;;;
58;pilkada dki jangan pilih pki berbahaya pilih  atau  saja mahasiswa di diy nyalaka  imlek;;;
59;ini bikin ngakak rauwes uwes  ;;;
60;pilkada dki jangan pilih pki berbahaya pilih  atau  saja berurutan ada dua tahan  imlek;;;
61;rt  inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus amp;;;
62;rt  para pemujapemuji  kalau msh juga memuji ini keterlaluan mbok ya kalau tugas boleh tapi  ;;;
63;rt  inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus amp;;;
64;rt  retweet please nmenurut anda paslon mana yang paling pantas memimpin jakarta lima tahun kedepan ;;;
65;rt  beda kelas ;;;
66;pilih satunya jangan sekarang  nanti aja pas nyoblos  ;;;
67; orangorang yang berhenti belajar akan menjadi pemilik masa lalu orangorang yang masih terus b  ;;;
68;rt  maklumnamanya jg paslon hapalan ;;;
69;rt  ikutan polling ahnsetelah debat kedua siapa pilihan kamu hayo ;;;
70;rt  kata  ipm di ibu kota manapun di seluruh dunia sll plg tinggi benarkah di amerika ternyata tidak  ;;;
71;rt  kasian mpok sylvi baru mau nanya eh ahok udah jadi gubernur jakarta lagi  ;;;
72;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis;;;
73;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
74;rt  jangan pilih cagub yg dekat dgn sarang koruptor  ;;;
75;pdip sengaja becah belah rakyat warga dki tidak pilih ahok blusuka  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
76;rt  ahok sunguh oembual sejatindidebat semua data yg disebutkan palsunhanya opini medianjangan sampai ketipu si jamban ;;;
77;pdip sengaja becah belah rakyat warga dki tidak pilih ahok jutaan  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
78;rt  lah lu monolog sejam yg dihadiri  lu sendiri  knp gak dijelaskan ngeles aja emg gak  ;;;
79;rt  agus makin santainahok makin santunnanies makin ;;;
80;rt  tidak bisa dalam waktu  tahun hrs membereskan semuanya karena masih ada yg dalam progres ini bukan sulap ;;;
81;rt  tambahan info biar yang belain ga tersesat terlalu  ;;;
82;pilkada dki jangan pilih pki berbahaya pilih  atau  saja baksos akhiri latihan br  imlek;;;
83;pilkada dki jangan pilih pki berbahaya pilih  atau  saja besok giliran agussylv  imlek;;;
84;vote  untuk debat terakhir ;;;
85;rt  nah gue pikir sentimen petahana oke di  semalam tapi mnrt politicawave malah sebaliknya  ;;;
86;yg denger dibikin berimajinasi sasarannya paling kalangan sdm rendah jargonnya aja aneh membangun tanpa menggusur ;;;
87;rt  bohongi bohongi terus org pakai opini kinerja baik pdhl kinerjanya absolutely buruk ;;;
88;efek dari  adalah terlihatnya kapasitas pemikiran seseorang apakah dy cukup punya otak atau tidaksaatnya menilai kewarasan;;;
89;rt  anies di bibir memutar kata walau kau tuduh ahoklah segala penyebabnya  ;;;
90;adakah manis gula kau timpakan dengan asam nya cuka ;;;
91;ngeselinitusaat mau ngasih pertanyaan tapi waktunya  ahokdjarothebat;;;
92;belom banyaknya robot twitter yang berkatifitas  pasangan lain ga bs yaa saling mengangkat nilai positif aja ;;;
93;yaa mgkn emang krg kali pendidikannya sehingga penyampaian info yg ada jadi  atau tidak berdasar ;;;
94;rt  tidak bisa dalam waktu  tahun hrs membereskan semuanya karena masih ada yg dalam progres ini bukan sulap ;;;
95;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
96;ya sudahlaahh mari kita liat sebenernya mau jakarta yg seperti apa udah bs liat dong ya mana psangan yg cocok dihati ;;;
97;rt  ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung ;;;
98;ogahpilihterdakwa yg bikin hesteg psti orgny bebeb reseq  ahokdjarothebat aniessandiokoce debatahypalingoke indonesia;;;
99;rt  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak ;;;
100;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis;;;
101;rt  gitu yg mau jadi pemimpin udah salah harusnya intropeksi diri bukan ngacuin jempol kebawah gitu emak sylvii ;;;
102;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
103;rt  kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin ;;;
104;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
105;rt  saya kaget lihat jempol bu silvy kebawah saat dengar penjelasan paslon  emang hrs gitu ya bu silvy kayak  ;;;
